"cumulative_customer_share","cumulative_revenue_share"
0.3253,0.0971
0.3263,0.0975
0.3273,0.098
0.3283,0.0984
0.3293,0.0989
0.3303,0.0993
0.3313,0.0998
0.3323,0.1003
0.3333,0.1007
0.3343,0.1012
0.3353,0.1016
0.3363,0.1021
0.3373,0.1025
0.3383,0.103
0.3393,0.1035
0.3403,0.1039
0.3413,0.1044
0.3423,0.1048
0.3433,0.1053
0.3443,0.1058
0.3454,0.1062
0.3463,0.1067
0.3473,0.1072
0.3484,0.1076
0.3493,0.1081
0.3504,0.1086
0.3514,0.1091
0.3524,0.1095
0.3534,0.11
0.3544,0.1105
0.3554,0.111
0.3564,0.1114
0.3574,0.1119
0.3584,0.1124
0.3594,0.1129
0.3604,0.1133
0.3614,0.1138
0.3624,0.1143
0.3634,0.1148
0.3644,0.1153
0.3654,0.1158
0.3664,0.1163
0.3674,0.1168
0.3684,0.1173
0.3694,0.1178
0.3704,0.1183
0.3714,0.1187
0.3724,0.1192
0.3734,0.1197
0.3744,0.1202
0.3754,0.1207
0.3764,0.1212
0.3774,0.1218
0.3784,0.1223
0.3794,0.1228
0.3804,0.1233
0.3814,0.1238
0.3824,0.1243
0.3834,0.1248
0.3844,0.1253
0.3854,0.1258
0.3864,0.1263
0.3874,0.1269
0.3884,0.1274
0.3894,0.1279
0.3904,0.1284
0.3914,0.1289
0.3924,0.1294
0.3934,0.13
0.3944,0.1305
0.3954,0.131
0.3964,0.1315
0.3974,0.1321
0.3984,0.1326
0.3994,0.1331
0.4004,0.1336
0.4014,0.1342
0.4024,0.1347
0.4034,0.1352
0.4044,0.1358
0.4054,0.1363
0.4064,0.1368
0.4074,0.1374
0.4084,0.1379
0.4094,0.1384
0.4104,0.139
0.4114,0.1395
0.4124,0.1401
0.4134,0.1406
0.4144,0.1412
0.4154,0.1417
0.4164,0.1422
0.4174,0.1428
0.4184,0.1433
0.4194,0.1439
0.4204,0.1444
0.4214,0.145
0.4224,0.1456
0.4234,0.1461
0.4244,0.1467
0.4254,0.1472
0.4264,0.1478
0.4274,0.1483
0.4284,0.1489
0.4294,0.1495
0.4304,0.15
0.4314,0.1506
0.4324,0.1512
0.4334,0.1517
0.4344,0.1523
0.4354,0.1529
0.4364,0.1535
0.4374,0.154
0.4384,0.1546
0.4394,0.1552
0.4404,0.1558
0.4414,0.1563
0.4424,0.1569
0.4434,0.1575
0.4444,0.1581
0.4455,0.1587
0.4464,0.1593
0.4474,0.1598
0.4485,0.1604
0.4494,0.161
0.4505,0.1616
0.4514,0.1622
0.4525,0.1628
0.4535,0.1634
0.4545,0.164
0.4555,0.1646
0.4565,0.1652
0.4575,0.1658
0.4585,0.1664
0.4595,0.167
0.4605,0.1676
0.4615,0.1682
0.4625,0.1688
0.4635,0.1694
0.4645,0.17
0.4655,0.1706
0.4665,0.1712
0.4675,0.1718
0.4685,0.1724
0.4695,0.1731
0.4705,0.1737
0.4715,0.1743
0.4725,0.1749
0.4735,0.1755
0.4745,0.1762
0.4755,0.1768
0.4765,0.1774
0.4775,0.178
0.4785,0.1786
0.4795,0.1793
0.4805,0.1799
0.4815,0.1805
0.4825,0.1812
0.4835,0.1818
0.4845,0.1824
0.4855,0.1831
0.4865,0.1837
0.4875,0.1843
0.4885,0.185
0.4895,0.1856
0.4905,0.1863
0.4915,0.1869
0.4925,0.1876
0.4935,0.1882
0.4945,0.1888
0.4955,0.1895
0.4965,0.1901
0.4975,0.1908
0.4985,0.1914
0.4995,0.1921
0.5005,0.1927
0.5015,0.1934
0.5025,0.194
0.5035,0.1947
0.5045,0.1954
0.5055,0.196
0.5065,0.1967
0.5075,0.1973
0.5085,0.198
0.5095,0.1987
0.5105,0.1993
0.5115,0.2
0.5125,0.2007
0.5135,0.2014
0.5145,0.202
0.5155,0.2027
0.5165,0.2034
0.5175,0.2041
0.5185,0.2047
0.5195,0.2054
0.5205,0.2061
0.5215,0.2068
0.5225,0.2075
0.5235,0.2082
0.5245,0.2089
0.5255,0.2095
0.5265,0.2102
0.5275,0.2109
0.5285,0.2116
0.5295,0.2123
0.5305,0.213
0.5315,0.2137
0.5325,0.2144
0.5335,0.2151
0.5345,0.2158
0.5355,0.2165
0.5365,0.2172
0.5375,0.2179
0.5385,0.2186
0.5395,0.2193
0.5405,0.22
0.5415,0.2208
0.5425,0.2215
0.5435,0.2222
0.5445,0.2229
0.5455,0.2236
0.5465,0.2243
0.5475,0.225
0.5486,0.2257
0.5495,0.2265
0.5506,0.2272
0.5515,0.2279
0.5526,0.2286
0.5536,0.2294
0.5545,0.2301
0.5556,0.2308
0.5566,0.2315
0.5576,0.2323
0.5586,0.233
0.5596,0.2337
0.5606,0.2345
0.5616,0.2352
0.5626,0.2359
0.5636,0.2367
0.5646,0.2374
0.5656,0.2382
0.5666,0.2389
0.5676,0.2397
0.5686,0.2404
0.5696,0.2412
0.5706,0.2419
0.5716,0.2427
0.5726,0.2434
0.5736,0.2442
0.5746,0.2449
0.5756,0.2457
0.5766,0.2465
0.5776,0.2472
0.5786,0.248
0.5796,0.2488
0.5806,0.2495
0.5816,0.2503
0.5826,0.2511
0.5836,0.2519
0.5846,0.2526
0.5856,0.2534
0.5866,0.2542
0.5876,0.255
0.5886,0.2558
0.5896,0.2565
0.5906,0.2573
0.5916,0.2581
0.5926,0.2589
0.5936,0.2597
0.5946,0.2605
0.5956,0.2613
0.5966,0.2621
0.5976,0.2629
0.5986,0.2637
0.5996,0.2645
0.6006,0.2653
0.6016,0.2661
0.6026,0.2669
0.6036,0.2677
0.6046,0.2685
0.6056,0.2693
0.6066,0.2701
0.6076,0.2709
0.6086,0.2718
0.6096,0.2726
0.6106,0.2734
0.6116,0.2742
0.6126,0.2751
0.6136,0.2759
0.6146,0.2767
0.6156,0.2775
0.6166,0.2784
0.6176,0.2792
0.6186,0.28
0.6196,0.2809
0.6206,0.2817
0.6216,0.2825
0.6226,0.2834
0.6236,0.2842
0.6246,0.285
0.6256,0.2859
0.6266,0.2867
0.6276,0.2876
0.6286,0.2884
0.6296,0.2893
0.6306,0.2901
0.6316,0.291
0.6326,0.2918
0.6336,0.2927
0.6346,0.2935
0.6356,0.2944
0.6366,0.2953
0.6376,0.2961
0.6386,0.297
0.6396,0.2979
0.6406,0.2987
0.6416,0.2996
0.6426,0.3005
0.6436,0.3014
0.6446,0.3022
0.6456,0.3031
0.6466,0.304
0.6476,0.3049
0.6486,0.3058
0.6496,0.3066
0.6507,0.3075
0.6516,0.3084
0.6527,0.3093
0.6537,0.3102
0.6546,0.3111
0.6557,0.312
0.6567,0.3129
0.6577,0.3138
0.6587,0.3147
0.6597,0.3156
0.6607,0.3165
